ID,Blue Side,Red Side,Victor,Blue Ban 1,Blue Ban 2,Blue Ban 3,Blue Ban 4,Blue Ban 5,Red Ban 1,Red Ban 2,Red Ban 3,Red Ban 4,Red Ban 5,Blue Pick 1,Blue Pick 2,Blue Pick 3,Blue Pick 4,Blue Pick 5,Red Pick 1,Red Pick 2,Red Pick 3,Red Pick 4,Red Pick 5
16,Dewa United,Rebellion Zion,Dewa United,Paquito,Kaja,Wanwan,Kadita,Pharsa,Valentina,Fanny,Uranus,Franco,Chou,Ling,Terizla,Yve,Arlott,Lesley,Fredrinn,Angela,Claude,Esmeralda,Lunox
17,ONIC Esport,Rex Regum Qeon,ONIC Esport,Claude,Yve,Hilda,Kadita,Pharsa,Fanny,Valentina,Ling,Kaja,Chou,Faramis,Paquito,Dyrroth,Harith,Khufra,Angela,Uranus,Beatrix,Franco,Bane
18,ONIC Esport,Rex Regum Qeon,Rex Regum Qeon,Claude,Yve,Pharsa,Franco,Natalia,Fanny,Ling,Joy,Lancelot,Chou,Valentina,Melissa,Uranus,Minotaur,Granger,Kadita,Paquito,Beatrix,Baxia,Khufra
19,ONIC Esport,Rex Regum Qeon,Rex Regum Qeon,Claude,Yve,Kadita,Wanwan,Beatrix,Fanny,Ling,Joy,Lancelot,Masha,Valentina,Chou,Harith,Yu Zhong,Bane,Pharsa,Paquito,Baxia,Brody,Khufra
20,ONIC Esport,Geek Fam ID,ONIC Esport,Natalia,Hilda,Valentina,Grock,Lancelot,Joy,Ling,Fanny,Khufra,Chou,Paquito,Kadita,Claude,Akai,Arlott,Fredrinn,Pharsa,Beatrix,Kaja,Hayabusa
21,Geek Fam ID,ONIC Esport,ONIC Esport,Fanny,Ling,Claude,Dyrroth,Harith,Kaja,Yve,Valentina,Franco,Uranus,Fredrinn,Pharsa,Beatrix,Rafaela,Lancelot,Kadita,Paquito,Grock,Brody,Joy
22,Rebellion Zion,Rex Regum Qeon,Rex Regum Qeon,Claude,Kadita,Pharsa,Lunox,Arlott,Yve,Paquito,Fanny,Atlas,Wanwan,Valentina,Uranus,Lancelot,Melissa,Edith,Baxia,Beatrix,Khufra,Esmeralda,Cecilion
23,Rebellion Zion,Rex Regum Qeon,Rex Regum Qeon,Claude,Baxia,Kadita,Khufra,Arlott,Yve,Paquito,Fanny,Kaja,Angela,Valentina,Uranus,Karrie,Martis,Novaria,Beatrix,Fredrinn,Pharsa,Natalia,Dyrroth
24,Dewa United,Bigetron Alpha,Bigetron Alpha,Paquito,Angela,Joy,Baxia,Grock,Uranus,Yve,Fanny,Ling,Hayabusa,Fredrinn,Beatrix,Kadita,Khufra,Bane,Kaja,Valentina,Wanwan,Lancelot,Terizla
25,Dewa United,Bigetron Alpha,Bigetron Alpha,Paquito,Angela,Fanny,Hilda,Grock,Uranus,Valentina,Yve,Franco,Kaja,Ling,Terizla,Faramis,Beatrix,Chou,Joy,Fredrinn,Melissa,Arlott,Diggie
26,Alter Ego,ONIC Esport,ONIC Esport,Ling,Joy,Fanny,Khufra,Masha,Angela,Melissa,Yve,Martis,Estes,Valentina,Baxia,Beatrix,Floryn,Paquito,Lancelot,Fredrinn,Claude,Kaja,Kadita
27,Alter Ego,ONIC Esport,ONIC Esport,Ling,Joy,Fanny,Dyrroth,Kaja,Angela,Melissa,Yve,Wanwan,Estes,Valentina,Uranus,Martis,Beatrix,Floryn,Claude,Kadita,Paquito,Franco,Lancelot
28,Geek Fam ID,EVOS Legends,EVOS Legends,Uranus,Yve,Claude,Arlott,Brody,Valentina,Kaja,Natalia,Fanny,Harith,Paquito,Franco,Pharsa,Karrie,Lancelot,Faramis,Joy,Atlas,Beatrix,Terizla
29,EVOS Legends,Geek Fam ID,Geek Fam ID,Valentina,Kaja,Natalia,Lesley,Harith,Joy,Yve,Paquito,Franco,Akai,Claude,Grock,Kadita,Ruby,Martis,Faramis,Fanny,Gloo,Chou,Wanwan
30,Geek Fam ID,EVOS Legends,EVOS Legends,Joy,Paquito,Yve,Akai,Terizla,Valentina,Kaja,Faramis,Atlas,Chou,Fanny,Pharsa,Gloo,Wanwan,Grock,Kadita,Franco,Beatrix,Fredrinn,Bane
31,ONIC Esport,Dewa United,ONIC Esport,Uranus,Yve,Hilda,Masha,Wanwan,Fanny,Angela,Lancelot,Terizla,Fredrinn,Ling,Kadita,Franco,Harith,Edith,Valentina,Kaja,Martis,Arlott,Brody
32,Dewa United,ONIC Esport,ONIC Esport,Kadita,Kaja,Fredrinn,Khufra,Ruby,Uranus,Paquito,Faramis,Masha,Terizla,Fanny,Franco,Valentina,Wanwan,Esmeralda,Joy,Angela,Arlott,Edith,Melissa
33,AURA Fire,Rebellion Zion,Rebellion Zion,Kaja,Yve,Paquito,Uranus,Arlott,Fanny,Fredrinn,Ling,Terizla,Kadita,Claude,Joy,Angela,Ruby,Novaria,Valentina,Franco,Beatrix,Baxia,Grock
34,AURA Fire,Rebellion Zion,Rebellion Zion,Kaja,Yve,Paquito,Baxia,Edith,Ling,Fredrinn,Fanny,Martis,Arlott,Valentina,Grock,Claude,Khufra,Hayabusa,Kadita,Franco,Beatrix,Joy,Terizla
35,Alter Ego,Geek Fam ID,Geek Fam ID,Kaja,Natalia,Valentina,Lancelot,Ling,Angela,Uranus,Melissa,Hilda,Terizla,Fanny,Yve,Karrie,Edith,X.Borg,Fredrinn,Grock,Beatrix,Faramis,Joy
36,Geek Fam ID,Alter Ego,Geek Fam ID,Angela,Melissa,Uranus,Kadita,Floryn,Fanny,Kaja,Natalia,Joy,Franco,Valentina,Beatrix,Gloo,Chou,Bane,Arlott,Faramis,Ling,Brody,Diggie
37,Rex Regum Qeon,EVOS Legends,EVOS Legends,Joy,Ling,Fanny,Terizla,Uranus,Kadita,Baxia,Claude,Khufra,Franco,Paquito,Karrie,Pharsa,Grock,Fredrinn,Yve,Beatrix,Kaja,Akai,Helcurt
38,EVOS Legends,Rex Regum Qeon,Rex Regum Qeon,Kadita,Baxia,Claude,Kaja,Khufra,Joy,Fanny,Yve,Helcurt,Ling,Valentina,Terizla,Franco,Brody,Bane,Beatrix,Paquito,Pharsa,X.Borg,Chou
39,Rex Regum Qeon,EVOS Legends,Rex Regum Qeon,Joy,Fanny,Ling,Helcurt,Uranus,Baxia,Claude,Paquito,Wanwan,Harith,Fredrinn,Yve,Khufra,Karrie,X.Borg,Beatrix,Chou,Kadita,Lancelot,Esmeralda
40,EVOS Legends,Alter Ego,EVOS Legends,Valentina,Kadita,Melissa,Floryn,Uranus,Fanny,Joy,Faramis,Brody,Beatrix,Yve,Angela,Ling,Paquito,Lesley,Pharsa,Claude,Baxia,Lapu-Lapu,Helcurt
41,Alter Ego,EVOS Legends,EVOS Legends,Fanny,Claude,Uranus,Joy,Helcurt,Valentina,Melissa,Yve,Terizla,Esmeralda,Angela,Ling,Beatrix,Khufra,Arlott,Faramis,Kaja,Brody,Paquito,Masha
42,Bigetron Alpha,Rex Regum Qeon,Rex Regum Qeon,Claude,Baxia,Kadita,X.Borg,Uranus,Joy,Fanny,Angela,Franco,Kaja,Paquito,Wanwan,Valentina,Grock,Gloo,Beatrix,Yve,Khufra,Fredrinn,Ling
43,Bigetron Alpha,Rex Regum Qeon,Rex Regum Qeon,Claude,Baxia,Yve,Franco,Khufra,Fanny,Angela,Joy,Diggie,Floryn,Paquito,Melissa,Valentina,Grock,Lancelot,Beatrix,Fredrinn,Kadita,Chou,Arlott
44,AURA Fire,Bigetron Alpha,AURA Fire,Fanny,Joy,Melissa,Claude,Ling,Valentina,Yve,Angela,Lancelot,Martis,Paquito,Beatrix,Pharsa,Novaria,Akai,Fredrinn,Faramis,Grock,Wanwan,Uranus
45,AURA Fire,Bigetron Alpha,AURA Fire,Joy,Melissa,Fanny,Harith,Claude,Valentina,Yve,Paquito,Baxia,Kadita,Faramis,Uranus,Beatrix,Lancelot,Arlott,Fredrinn,Angela,Ling,Ruby,Bane
46,Dewa United,EVOS Legends,EVOS Legends,Fanny,Ling,Kadita,Pharsa,Claude,Joy,Yve,Faramis,Franco,Kaja,Valentina,Uranus,Lancelot,Khufra,Brody,Fredrinn,Angela,Paquito,Beatrix,Novaria
47,Dewa United,EVOS Legends,EVOS Legends,Ling,Fanny,Kadita,Paquito,Baxia,Joy,Yve,Uranus,Kaja,Franco,Valentina,Terizla,Lancelot,Grock,Karrie,Fredrinn,Beatrix,Pharsa,Edith,X.Borg
48,Dewa United,Geek Fam ID,Dewa United,Valentina,Natalia,Kaja,Ling,Lancelot,Joy,Faramis,Uranus,Khufra,Beatrix,Fanny,Terizla,Yve,Arlott,Claude,Pharsa,Chou,Gloo,Martis,Karrie
49,Dewa United,Geek Fam ID,Dewa United,Valentina,Natalia,Kaja,Ling,Lancelot,Joy,Yve,Faramis,Kadita,Khufra,Fanny,Uranus,Beatrix,Ruby,Novaria,Pharsa,Chou,Gloo,Karrie,Bane
50,AURA Fire,ONIC Esport,AURA Fire,Fanny,Joy,Kadita,Grock,Chou,Uranus,Paquito,Angela,Hilda,Ling,Fredrinn,Beatrix,Yve,Badang,Arlott,Valentina,Claude,Ling,Akai,Terizla
51,AURA Fire,ONIC Esport,AURA Fire,Joy,Fanny,Kadita,Chou,Grock,Uranus,Paquito,Angela,Valentina,Faramis,Fredrinn,Beatrix,Arlott,Esmeralda,Pharsa,Yve,Claude,Masha,Kaja,Martis
52,Bigetron Alpha,Rebellion Zion,Bigetron Alpha,Franco,Kaja,Paquito,Arlott,Fanny,Valentina,Melissa,Joy,Akai,Martis,Uranus,Angela,Harith,Lapu-Lapu,Alpha,Fredrinn,Beatrix,Faramis,Edith,Grock
53,Bigetron Alpha,Rebellion Zion,Bigetron Alpha,Paquito,Kaja,Franco,Arlott,Baxia,Valentina,Melissa,Joy,Kadita,Pharsa,Uranus,Angela,Harith,Chou,Fanny,Fredrinn,Beatrix,Yve,Khufra,Grock
54,Rex Regum Qeon,Geek Fam ID,Geek Fam ID,Natalia,Joy,Fanny,Kaja,Arlott,Yve,Claude,Uranus,Terizla,Khufra,Faramis,Baxia,Karrie,Paquito,Chou,Fredrinn,Beatrix,Valentina,Kadita,Alpha
55,Geek Fam ID,Rex Regum Qeon,Rex Regum Qeon,Yve,Claude,Uranus,Arlott,Paquito,Fanny,Joy,Faramis,Diggie,Gloo,Beatrix,Valentina,Lancelot,Lapu-Lapu,Grock,Fredrinn,Kadita,Khufra,Brody,Khaleed
56,Rex Regum Qeon,Geek Fam ID,Geek Fam ID,Joy,Fanny,Faramis,Kaja,Chou,Yve,Claude,Khufra,Brody,Baxia,Kadita,Natalia,Uranus,Karrie,Martis,Fredrinn,Beatrix,Valentina,Alpha,Saber
57,EVOS Legends,ONIC Esport,ONIC Esport,Fanny,Joy,Ling,Beatrix,Harith,Fredrinn,Angela,Paquito,Martis,Dyrroth,Kadita,Claude,Kaja,Arlott,Baxia,Uranus,Valentina,Lancelot,Khufra,Wanwan
58,ONIC Esport,EVOS Legends,ONIC Esport,Uranus,Angela,Fredrinn,Martis,Baxia,Fanny,Joy,Kadita,Grock,Khufra,Valentina,Edith,Claude,Ling,Chou,Paquito,Beatrix,Kaja,Faramis,Arlott
59,Rebellion Zion,ONIC Esport,Rebellion Zion,Fanny,Kadita,Ling,Yve,Faramis,Fredrinn,Beatrix,Joy,Wanwan,Harith,Valentina,Kaja,Paquito,Baxia,Lesley,Claude,Uranus,Khufra,Pharsa,Alpha
60,ONIC Esport,Rebellion Zion,ONIC Esport,Kaja,Paquito,Hilda,Franco,Arlott,Fanny,Joy,Ling,Melissa,Uranus,Kadita,Fredrinn,Valentina,Hayabusa,Beatrix,Faramis,Grock,Martis,Claude,Floryn
61,ONIC Esport,Rebellion Zion,ONIC Esport,Kaja,Paquito,Hilda,Edith,Franco,Fanny,Joy,Valentina,Yve,Melissa,Ling,Angela,Arlott,Harith,Atlas,Fredrinn,Beatrix,Faramis,Khufra,Grock
62,AURA Fire,EVOS Legends,EVOS Legends,Kaja,Kadita,Uranus,Franco,Grock,Yve,Joy,Fredrinn,Fanny,X.Borg,Paquito,Arlott,Pharsa,Baxia,Claude,Valentina,Beatrix,Terizla,Martis,Edith
63,EVOS Legends,AURA Fire,AURA Fire,Yve,Uranus,Angela,Claude,Masha,Joy,Paquito,Kadita,Kaja,Franco,Beatrix,Pharsa,Baxia,Ruby,Edith,Fredrinn,Valentina,Arlott,Karrie,Novaria
64,AURA Fire,EVOS Legends,EVOS Legends,Kaja,Kadita,Yve,Franco,Edith,Paquito,Joy,Arlott,Novaria,Floryn,Fredrinn,Valentina,Uranus,Selena,Karrie,Angela,Beatrix,Baxia,Terizla,Pharsa
65,Alter Ego,Dewa United,Alter Ego,Kaja,Valentina,Franco,Arlott,Khufra,Angela,Uranus,Kadita,Fredrinn,Melissa,Joy,Chou,Pharsa,Irithel,Terizla,Yve,Paquito,Fanny,Beatrix,Ruby
66,Alter Ego,Dewa United,Alter Ego,Kaja,Valentina,Franco,Lancelot,Martis,Angela,Uranus,Joy,Edith,Baxia,Fanny,Yve,Terizla,Kadita,Irithel,Arlott,Pharsa,Khufra,Beatrix,Ling
67,AURA Fire,Geek Fam ID,AURA Fire,Joy,Fanny,Natalia,Gloo,Kaja,Paquito,Angela,Uranus,Brody,Novaria,Fredrinn,Edith,Kadita,Khaleed,Claude,Valentina,Beatrix,Martis,Khufra,Arlott
68,Geek Fam ID,AURA Fire,AURA Fire,Paquito,Edith,Uranus,Esmeralda,Terizla,Fanny,Joy,Natalia,Kaja,Lesley,Fredrinn,Faramis,Gloo,Irithel,Novaria,Kadita,Lancelot,Claude,Yu Zhong,Pharsa
69,Rebellion Zion,EVOS Legends,Rebellion Zion,Kadita,Kaja,Claude,Wanwan,Brody,Joy,Angela,Fanny,Ling,Uranus,Beatrix,Franco,Fredrinn,Yve,Arlott,Paquito,Valentina,Atlas,Lancelot,Harith
70,EVOS Legends,Rebellion Zion,Rebellion Zion,Kaja,Uranus,Angela,Yve,Novaria,Kadita,Paquito,Valentina,Grock,Faramis,Joy,Floryn,Fredrinn,Ruby,Brody,Franco,Beatrix,Fanny,Terizla,Gord
71,ONIC Esport,Bigetron Alpha,ONIC Esport,Paquito,Uranus,Angela,Khufra,Franco,Fanny,Kadita,Joy,Lancelot,Ling,Faramis,Kaja,Beatrix,Hayabusa,Gloo,Fredrinn,Valentina,Melissa,Edith,Alucard
72,Bigetron Alpha,ONIC Esport,ONIC Esport,Fanny,Kadita,Valentina,Harith,Wanwan,Paquito,Faramis,Angela,X.Borg,Uranus,Joy,Beatrix,Franco,Arlott,Pharsa,Fredrinn,Kaja,Lancelot,Novaria,Clint
73,EVOS Legends,Bigetron Alpha,EVOS Legends,Uranus,Paquito,Fanny,Melissa,Ling,Angela,Kadita,Kaja,Beatrix,Lesley,Joy,Terizla,Faramis,Clint,Edith,Valentina,Fredrinn,Franco,Claude,X.Borg
74,EVOS Legends,Bigetron Alpha,Bigetron Alpha,Uranus,Paquito,Fanny,Masha,Terizla,Angela,Faramis,Valentina,Ling,Lancelot,Kadita,Fredrinn,Beatrix,Martis,Pharsa,Kaja,Joy,Wanwan,Gloo,Novaria
75,EVOS Legends,Bigetron Alpha,Bigetron Alpha,Uranus,Fanny,Kaja,Wanwan,Lesley,Faramis,Angela,Valentina,Edith,Atlas,Joy,Terizla,Claude,Grock,Yve,Kadita,Paquito,Franco,Karrie,Baxia
76,Geek Fam ID,Rebellion Zion,Geek Fam ID,Yve,Franco,Claude,Martis,Ling,Natalia,Fanny,Kaja,Brody,Chou,Kadita,Uranus,Lancelot,Minotaur,Beatrix,Angela,Harith,Arlott,Paquito,Leomord
77,Geek Fam ID,Rebellion Zion,Geek Fam ID,Yve,Franco,Claude,Edith,Novaria,Natalia,Fanny,Kadita,Joy,Ling,Kaja,Valentina,Terizla,Karrie,Lancelot,Fredrinn,Beatrix,Pharsa,Khufra,Arlott
78,Alter Ego,Rex Regum Qeon,Alter Ego,Claude,Beatrix,Paquito,Yve,Faramis,Ling,Joy,Fanny,Pharsa,Helcurt,Kadita,Terizla,Brody,Chou,Hayabusa,Irithel,Fredrinn,X.Borg,Valir,Khufra
79,Alter Ego,Rex Regum Qeon,Alter Ego,Claude,Beatrix,Paquito,Kaja,Chou,Fanny,Joy,Kadita,X.Borg,Uranus,Irithel,Yve,Martis,Gloo,Novaria,Brody,Terizla,Valentina,Franco,Ling
80,Alter Ego,AURA Fire,Alter Ego,Fredrinn,Paquito,Claude,Beatrix,Brody,Fanny,Joy,Kadita,Hayabusa,Ling,Valentina,Irithel,Terizla,Chou,Helcurt,Lancelot,Edith,Yve,Karrie,X.Borg
81,Alter Ego,AURA Fire,Alter Ego,Fredrinn,Paquito,Claude,Lancelot,Novaria,Fanny,Joy,Terizla,Gloo,Helcurt,Kadita,Valentina,Irithel,Hylos,Yu Zhong,Beatrix,Edith,Pharsa,Martis,Uranus
82,Dewa United,Rex Regum Qeon,Rex Regum Qeon,Paquito,Claude,Uranus,X.Borg,Kadita,Joy,Fanny,Ling,Irithel,Brody,Terizla,Lancelot,Valentina,Kaja,Clint,Chou,Fredrinn,Beatrix,Yve,Yu Zhong
83,Dewa United,Rex Regum Qeon,Rex Regum Qeon,Claude,Paquito,Uranus,Yu Zhong,Pharsa,Joy,Fanny,Ling,Brody,Beatrix,Terizla,Lancelot,Yve,Khufra,Melissa,Fredrinn,Chou,Irithel,Kadita,Lapu-Lapu
84,Dewa United,AURA Fire,AURA Fire,Paquito,Fredrinn,Angela,Hayabusa,Martis,Fanny,Joy,Valentina,Terizla,Grock,Lancelot,Irithel,Yve,Uranus,Khufra,Claude,Edith,Kadita,Kaja,Ling
85,Dewa United,AURA Fire,AURA Fire,Paquito,Angela,Fredrinn,Pharsa,Khufra,Joy,Fanny,Valentina,Kadita,Yve,Lancelot,Irithel,Kaja,Novaria,Uranus,Claude,Edith,Hayabusa,Terizla,Faramis
86,Alter Ego,Rebellion Zion,Rebellion Zion,Franco,Kaja,Paquito,Fredrinn,Martis,Kadita,Chou,Fanny,Yve,Novaria,Joy,Terizla,Irithel,Arlott,Angela,Valentina,Edith,Claude,Baxia,Minotaur
87,Rebellion Zion,Alter Ego,Alter Ego,Kadita,Chou,Fanny,Arlott,Terizla,Franco,Kaja,Valentina,Novaria,Angela,Joy,Fredrinn,Claude,Grock,Cecilion,Edith,Yve,Martis,Irithel,Khaleed
88,Rebellion Zion,Alter Ego,Rebellion Zion,Kadita,Fanny,Chou,Helcurt,Hayabusa,Franco,Kaja,Valentina,Angela,Novaria,Yve,Martis,Claude,Minotaur,Paquito,Edith,Irithel,Pharsa,Lancelot,Grock
89,Bigetron Alpha,Geek Fam ID,Geek Fam ID,Natalia,Kaja,Faramis,Gloo,Uranus,Joy,Fanny,Paquito,Baxia,Martis,Valentina,Beatrix,Minotaur,Grock,Helcurt,Kadita,Claude,Lancelot,Terizla,Ruby
90,Bigetron Alpha,Geek Fam ID,Geek Fam ID,Kaja,Faramis,Kadita,Martis,Natalia,Joy,Fanny,Paquito,Lesley,Terizla,Valentina,Lancelot,Franco,Karrie,Edith,Claude,Uranus,Pharsa,Ruby,Baxia
91,Alter Ego,Rex Regum Qeon,Alter Ego,Claude,Beatrix,Paquito,Harith,Brody,Fanny,Joy,Kadita,Novaria,Uranus,Irithel,Martis,Yve,Edith,Terizla,Valentina,Chou,Yu Zhong,Fredrinn,Karrie
92,Rex Regum Qeon,Alter Ego,Rex Regum Qeon,Joy,Fanny,Chou,Novaria,Brody,Claude,Beatrix,Kadita,Fredrinn,Baxia,Irithel,Paquito,Yve,Lancelot,Khufra,Valentina,Terizla,Martis,Clint,Edith
93,Alter Ego,Rex Regum Qeon,Rex Regum Qeon,Claude,Beatrix,Paquito,Brody,Karrie,Fanny,Kadita,Joy,Novaria,Helcurt,Irithel,Terizla,Valentina,Lancelot,Minotaur,Chou,Yve,Yu Zhong,Baxia,Bruno
94,Geek Fam ID,ONIC Esport,Geek Fam ID,Joy,Valentina,Edith,Kaja,Chang'e,Paquito,Fanny,Beatrix,Pharsa,Ruby,Kadita,Terizla,Claude,Yve,Baxia,Faramis,Fredrinn,Wanwan,Grock,Lancelot
95,ONIC Esport,Geek Fam ID,Geek Fam ID,Claude,Yve,Paquito,Beatrix,Irithel,Joy,Kadita,Fanny,Edith,Fredrinn,Valentina,Melissa,Uranus,Khufra,Bane,Faramis,Lancelot,Kaja,Brody,Terizla
96,Alter Ego,Bigetron Alpha,Alter Ego,Paquito,Angela,Fredrinn,Baxia,Martis,Chou,Kadita,Terizla,Harith,Irithel,Fanny,Yve,Khufra,Dyrroth,Beatrix,Kaja,Valentina,Uranus,Claude,Lancelot
97,Alter Ego,Bigetron Alpha,Bigetron Alpha,Paquito,Angela,Fredrinn,Beatrix,Brody,Chou,Kadita,Terizla,Kaja,Uranus,Fanny,Yve,Claude,Gloo,Khufra,Valentina,Grock,Joy,Irithel,Akai
98,Bigetron Alpha,Alter Ego,Alter Ego,Terizla,Kadita,Chou,Baxia,Martis,Paquito,Fanny,Joy,Ling,Lancelot,Uranus,Harith,Angela,Edith,Aulus,Valentina,Dyrroth,Beatrix,Fredrinn,Novaria
99,AURA Fire,Rex Regum Qeon,AURA Fire,Claude,Kadita,Irithel,Kaja,Baxia,Fanny,Joy,Edith,Terizla,Uranus,Yve,Brody,Fredrinn,Grock,Khaleed,Beatrix,Paquito,Pharsa,Chou,Martis
100,AURA Fire,Rex Regum Qeon,Rex Regum Qeon,Kadita,Claude,Irithel,Karrie,Wanwan,Fanny,Edith,Johnson,Chou,Helcurt,Yve,Beatrix,Terizla,Khufra,Lancelot,Valentina,Fredrinn,Kaja,Bruno,Yu Zhong
101,Rex Regum Qeon,AURA Fire,Rex Regum Qeon,Johnson,Edith,Fanny,Yve,Pharsa,Kadita,Claude,Fredrinn,Terizla,Chou,Valentina,Grock,Brody,Khufra,Yu Zhong,Irithel,Paquito,Baxia,Kaja,Novaria
102,Rebellion Zion,Dewa United,Dewa United,Chou,Lancelot,Kadita,Edith,Khufra,Paquito,Kaja,Yve,Joy,Terizla,Valentina,Franco,Beatrix,Gloo,Baxia,Fredrinn,Pharsa,Brody,Ruby,Lapu-Lapu
103,Rebellion Zion,Dewa United,Dewa United,Chou,Lancelot,Kadita,Terizla,X.Borg,Paquito,Kaja,Yve,Lesley,Brody,Fredrinn,Novaria,Edith,Pharsa,Karrie,Baxia,Valentina,Claude,Granger,Lapu-Lapu
104,ONIC Esport,Alter Ego,ONIC Esport,Terizla,Yve,Paquito,Uranus,Martis,Fanny,Joy,Kadita,Ling,Lancelot,Fredrinn,Claude,Khufra,Yu Zhong,Faramis,Valentina,Chou,Irithel,Baxia,X.Borg
105,Alter Ego,ONIC Esport,ONIC Esport,Joy,Fanny,Claude,Harith,Karrie,Terizla,Yve,Valentina,Uranus,Paquito,Kadita,Beatrix,Novaria,Arlott,Martis,Fredrinn,Faramis,Ling,Angela,Wanwan
106,Rebellion Zion,Rex Regum Qeon,Rex Regum Qeon,Kadita,Chou,Yve,Kaja,Baxia,Joy,Fanny,Edith,Gord,Franco,Claude,Novaria,Terizla,Guinevere,Lapu-Lapu,Valentina,Paquito,Irithel,Fredrinn,Khufra
107,Rex Regum Qeon,Rebellion Zion,Rebellion Zion,Joy,Fanny,Edith,Novaria,Wanwan,Kadita,Chou,Khufra,Baxia,Martis,Claude,Valentina,Yu Zhong,Grock,Kaja,Fredrinn,Paquito,Yve,Irithel,Franco
108,Rebellion Zion,Rex Regum Qeon,Rebellion Zion,Kadita,Chou,Valentina,Khufra,Edith,Joy,Yve,Fanny,Franco,Kaja,Paquito,Novaria,Irithel,Terizla,Martis,Claude,Fredrinn,Pharsa,Esmeralda,Minotaur
